Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),dt
2021-10-01,3,0.336,0.0,0.0,,1633057200
2021-10-01,4,0.306,0.0,0.0,,1633060800
2021-10-01,5,0.268,0.0,0.0,,1633064400
2021-10-01,6,0.279,0.0,0.0,,1633068000
2021-10-01,7,0.281,0.0,0.0,,1633071600
2021-10-01,8,0.585,0.0,0.047,,1633075200
2021-10-01,9,0.064,0.0,0.187,Low,1633078800
2021-10-01,10,0.005,0.0,0.248,High,1633082400
2021-10-01,11,0.0,0.0,0.258,Very High,1633086000
2021-10-01,12,0.0,0.0,0.262,Very High,1633089600
2021-10-01,13,0.025,0.0,0.329,Very High,1633093200
2021-10-01,14,0.014,0.0,0.34,High,1633096800
2021-10-01,15,0.02,0.0,0.373,High,1633100400
2021-10-01,16,0.052,0.0,0.376,Medium,1633104000
2021-10-01,17,0.189,0.0,0.267,Low,1633107600
2021-10-01,18,0.714,0.0,0.034,,1633111200
2021-10-01,19,0.422,0.0,0.0,,1633114800
2021-10-01,20,0.374,0.0,0.0,,1633118400
2021-10-01,21,0.255,0.0,0.0,,1633122000
2021-10-01,22,0.324,0.0,0.0,,1633125600
2021-10-01,23,0.331,0.0,0.0,,1633129200
2021-10-02,0,0.328,0.0,0.0,,1633132800
2021-10-02,1,0.526,0.0,0.0,,1633136400
2021-10-02,2,0.328,0.0,0.0,,1633140000
2021-10-02,3,0.262,0.0,0.0,,1633143600
2021-10-02,4,0.256,0.0,0.0,,1633147200
2021-10-02,5,0.256,0.0,0.0,,1633150800
2021-10-02,6,0.287,0.0,0.0,,1633154400
2021-10-02,7,0.377,0.0,0.0,,1633158000
2021-10-02,8,0.215,0.0,0.064,,1633161600
2021-10-02,9,0.087,0.0,0.167,Low,1633165200
2021-10-02,10,0.052,0.0,0.201,Low,1633168800
2021-10-02,11,0.099,0.0,0.27,Medium,1633172400
2021-10-02,12,0.265,0.0,0.29,Low,1633176000
2021-10-02,13,0.741,0.0,0.214,,1633179600
2021-10-02,14,0.202,0.0,0.261,Low,1633183200
2021-10-02,15,0.735,0.0,0.244,Low,1633186800
2021-10-02,16,0.936,0.0,0.144,,1633190400
2021-10-02,17,0.418,0.0,0.056,,1633194000
2021-10-02,18,0.388,0.0,0.016,,1633197600
2021-10-02,19,0.52,0.0,0.0,,1633201200
2021-10-02,20,0.477,0.0,0.0,,1633204800
2021-10-02,21,0.55,0.0,0.0,,1633208400
2021-10-02,22,0.32,0.0,0.0,,1633212000
2021-10-02,23,0.352,0.0,0.0,,1633215600
2021-10-03,0,0.472,0.0,0.0,,1633219200
2021-10-03,1,0.429,0.0,0.0,,1633222800
2021-10-03,2,0.281,0.0,0.0,,1633226400
2021-10-03,3,0.337,0.0,0.0,,1633230000
2021-10-03,4,0.277,0.0,0.0,,1633233600
2021-10-03,5,0.263,0.0,0.0,,1633237200
2021-10-03,6,0.259,0.0,0.0,,1633240800
2021-10-03,7,0.259,0.0,0.002,,1633244400
2021-10-03,8,0.047,0.0,0.221,Medium,1633248000
2021-10-03,9,0.015,0.0,0.299,High,1633251600
2021-10-03,10,0.053,0.0,0.402,High,1633255200
2021-10-03,11,0.236,0.0,0.502,High,1633258800
2021-10-03,12,0.958,0.0,0.621,Medium,1633262400
2021-10-03,13,0.57,0.0,0.417,Medium,1633266000
2021-10-03,14,0.384,0.0,0.21,Medium,1633269600
2021-10-03,15,0.205,0.0,0.278,Medium,1633273200
2021-10-03,16,0.163,0.0,0.173,Medium,1633276800
2021-10-03,17,0.329,0.0,0.194,,1633280400
2021-10-03,18,0.358,0.0,0.034,,1633284000
2021-10-03,19,0.472,0.0,0.0,,1633287600
2021-10-03,20,0.516,0.0,0.0,,1633291200
2021-10-03,21,0.489,0.0,0.0,,1633294800
2021-10-03,22,0.573,0.0,0.0,,1633298400
2021-10-03,23,0.591,0.0,0.0,,1633302000
2021-10-04,0,0.548,0.0,0.0,,1633305600
2021-10-04,1,0.527,0.0,0.0,,1633309200
2021-10-04,2,0.334,0.0,0.0,,1633312800
2021-10-04,3,0.34,0.0,0.0,,1633316400
2021-10-04,4,0.333,0.0,0.0,,1633320000
2021-10-04,5,0.337,0.0,0.0,,1633323600
2021-10-04,6,0.319,0.0,0.0,,1633327200
2021-10-04,7,0.33,0.0,0.002,,1633330800
2021-10-04,8,0.447,0.0,0.048,,1633334400
2021-10-04,9,0.372,0.0,0.129,,1633338000
2021-10-04,10,0.024,0.0,0.337,Medium,1633341600
2021-10-04,11,0.013,0.0,0.298,Medium,1633345200
2021-10-04,12,0.001,0.0,0.311,Medium,1633348800
2021-10-04,13,0.182,0.0,0.237,,1633352400
2021-10-04,14,0.029,0.0,0.484,Medium,1633356000
2021-10-04,15,0.084,0.0,0.424,Medium,1633359600
2021-10-04,16,0.052,0.0,0.403,Medium,1633363200
2021-10-04,17,0.25,0.0,0.237,Medium,1633366800
2021-10-04,18,0.364,0.0,0.039,,1633370400
2021-10-04,19,0.638,0.0,0.0,,1633374000
2021-10-04,20,0.664,0.0,0.0,,1633377600
2021-10-04,21,0.699,0.0,0.0,,1633381200
2021-10-04,22,0.734,0.0,0.0,,1633384800
2021-10-04,23,0.5,0.0,0.0,,1633388400
2021-10-05,0,0.546,0.0,0.0,,1633392000
2021-10-05,1,0.492,0.0,0.0,,1633395600
2021-10-05,2,0.32,0.0,0.0,,1633399200
2021-10-05,3,0.319,0.0,0.0,,1633402800
2021-10-05,4,0.317,0.0,0.0,,1633406400
2021-10-05,5,0.316,0.0,0.0,,1633410000
2021-10-05,6,0.31,0.0,0.0,,1633413600
2021-10-05,7,0.312,0.0,0.001,,1633417200
2021-10-05,8,0.255,0.0,0.067,,1633420800
2021-10-05,9,0.151,0.0,0.188,Low,1633424400
2021-10-05,10,0.271,0.0,0.216,,1633428000
2021-10-05,11,0.188,0.0,0.281,Low,1633431600
2021-10-05,12,0.007,0.0,0.467,High,1633435200
2021-10-05,13,0.228,0.0,0.588,High,1633438800
2021-10-05,14,0.2,0.0,0.406,Medium,1633442400
2021-10-05,15,0.065,0.0,0.424,High,1633446000
2021-10-05,16,0.458,0.0,0.181,Low,1633449600
2021-10-05,17,0.339,0.0,0.202,,1633453200
2021-10-05,18,0.444,0.0,0.041,,1633456800
2021-10-05,19,0.547,0.0,0.0,,1633460400
2021-10-05,20,0.969,0.0,0.0,,1633464000
2021-10-05,21,1.157,0.0,0.0,,1633467600
2021-10-05,22,0.966,0.0,0.0,,1633471200
2021-10-05,23,0.918,0.0,0.0,,1633474800
2021-10-06,0,0.935,0.0,0.0,,1633478400
2021-10-06,1,0.698,0.0,0.0,,1633482000
2021-10-06,2,0.541,0.0,0.0,,1633485600
2021-10-06,3,0.41,0.0,0.0,,1633489200
2021-10-06,4,0.401,0.0,0.0,,1633492800
2021-10-06,5,0.409,0.0,0.0,,1633496400
2021-10-06,6,0.401,0.0,0.0,,1633500000
2021-10-06,7,0.402,0.0,0.001,,1633503600
2021-10-06,8,0.401,0.0,0.252,Low,1633507200
2021-10-06,9,0.001,0.0,0.401,Medium,1633510800
2021-10-06,10,0.0,0.0,0.33,High,1633514400
2021-10-06,11,0.0,0.0,0.312,Very High,1633518000
2021-10-06,12,0.0,0.0,0.318,Very High,1633521600
2021-10-06,13,0.005,0.0,0.323,Very High,1633525200
2021-10-06,14,0.01,0.0,0.424,High,1633528800
2021-10-06,15,0.0,0.0,0.407,High,1633532400
2021-10-06,16,0.0,0.0,0.42,Medium,1633536000
2021-10-06,17,0.344,0.0,0.256,,1633539600
2021-10-06,18,1.276,0.0,0.018,,1633543200
2021-10-06,19,0.697,0.0,0.0,,1633546800
2021-10-06,20,0.47,0.0,0.0,,1633550400
2021-10-06,21,0.516,0.0,0.0,,1633554000
2021-10-06,22,0.395,0.0,0.0,,1633557600
2021-10-06,23,0.486,0.0,0.0,,1633561200
2021-10-07,0,0.601,0.0,0.0,,1633564800
2021-10-07,1,0.369,0.0,0.0,,1633568400
2021-10-07,2,0.311,0.0,0.0,,1633572000
2021-10-07,3,0.309,0.0,0.0,,1633575600
2021-10-07,4,0.311,0.0,0.0,,1633579200
2021-10-07,5,0.309,0.0,0.0,,1633582800
2021-10-07,6,0.409,0.0,0.0,,1633586400
2021-10-07,7,0.412,0.0,0.001,,1633590000
2021-10-07,8,0.241,0.0,0.244,Low,1633593600
2021-10-07,9,0.026,0.0,0.327,High,1633597200
2021-10-07,10,0.0,0.0,0.331,High,1633600800
2021-10-07,11,0.0,0.0,0.325,Very High,1633604400
2021-10-07,12,0.0,0.0,0.325,Very High,1633608000
2021-10-07,13,0.236,0.0,0.499,High,1633611600
2021-10-07,14,0.507,0.0,0.64,High,1633615200
2021-10-07,15,0.0,0.0,0.385,High,1633618800
2021-10-07,16,0.0,0.0,0.33,Medium,1633622400
2021-10-07,17,0.092,0.0,0.238,Low,1633626000
2021-10-07,18,0.437,0.0,0.017,,1633629600
2021-10-07,19,0.684,0.0,0.0,,1633633200
2021-10-07,20,0.75,0.0,0.0,,1633636800
2021-10-07,21,0.682,0.0,0.0,,1633640400
2021-10-07,22,0.573,0.0,0.0,,1633644000
2021-10-07,23,0.577,0.0,0.0,,1633647600
2021-10-08,0,0.426,0.0,0.0,,1633651200
2021-10-08,1,0.376,0.0,0.0,,1633654800
2021-10-08,2,0.379,0.0,0.0,,1633658400
2021-10-08,3,0.353,0.0,0.0,,1633662000
2021-10-08,4,0.334,0.0,0.0,,1633665600
2021-10-08,5,0.333,0.0,0.0,,1633669200
2021-10-08,6,0.319,0.0,0.0,,1633672800
2021-10-08,7,0.344,0.0,0.0,,1633676400
2021-10-08,8,0.356,0.0,0.214,Low,1633680000
2021-10-08,9,0.0,0.0,0.323,High,1633683600
2021-10-08,10,0.0,0.0,0.32,High,1633687200
2021-10-08,11,0.0,0.0,0.325,Very High,1633690800
2021-10-08,12,0.0,0.0,0.33,Very High,1633694400
2021-10-08,13,0.008,0.0,0.38,Very High,1633698000
2021-10-08,14,0.0,0.0,0.381,High,1633701600
2021-10-08,15,0.0,0.0,0.364,High,1633705200
2021-10-08,16,0.003,0.0,0.376,Medium,1633708800
2021-10-08,17,0.208,0.0,0.231,,1633712400
2021-10-08,18,0.458,0.0,0.017,,1633716000
2021-10-08,19,0.949,0.0,0.0,,1633719600
2021-10-08,20,0.882,0.0,0.0,,1633723200
2021-10-08,21,0.589,0.0,0.0,,1633726800
2021-10-08,22,0.527,0.0,0.0,,1633730400
2021-10-08,23,0.445,0.0,0.0,,1633734000
2021-10-09,0,0.375,0.0,0.0,,1633737600
2021-10-09,1,0.384,0.0,0.0,,1633741200
2021-10-09,2,0.463,0.0,0.0,,1633744800
2021-10-09,3,0.413,0.0,0.0,,1633748400
2021-10-09,4,0.34,0.0,0.0,,1633752000
2021-10-09,5,0.323,0.0,0.0,,1633755600
2021-10-09,6,0.314,0.0,0.0,,1633759200
2021-10-09,7,0.374,0.0,0.0,,1633762800
2021-10-09,8,0.232,0.0,0.09,,1633766400
2021-10-09,9,0.242,0.0,0.304,Medium,1633770000
2021-10-09,10,0.0,0.0,0.455,High,1633773600
2021-10-09,11,0.222,0.0,0.562,High,1633777200
2021-10-09,12,0.0,0.0,0.341,Very High,1633780800
2021-10-09,13,0.0,0.0,0.337,Very High,1633784400
2021-10-09,14,0.0,0.0,0.334,High,1633788000
2021-10-09,15,0.143,0.0,0.562,Medium,1633791600
2021-10-09,16,0.075,0.0,0.476,Medium,1633795200
2021-10-09,17,0.391,0.0,0.178,Low,1633798800
2021-10-09,18,0.49,0.0,0.03,,1633802400
2021-10-09,19,1.089,0.0,0.0,,1633806000
2021-10-09,20,0.985,0.0,0.0,,1633809600
2021-10-09,21,0.732,0.0,0.0,,1633813200
2021-10-09,22,0.685,0.0,0.0,,1633816800
2021-10-09,23,0.666,0.0,0.0,,1633820400
2021-10-10,0,0.735,0.0,0.0,,1633824000
2021-10-10,1,0.566,0.0,0.0,,1633827600
2021-10-10,2,0.323,0.0,0.0,,1633831200
2021-10-10,3,0.274,0.0,0.0,,1633834800
2021-10-10,4,0.275,0.0,0.0,,1633838400
2021-10-10,5,0.274,0.0,0.0,,1633842000
2021-10-10,6,0.272,0.0,0.0,,1633845600
2021-10-10,7,0.27,0.0,0.001,,1633849200
2021-10-10,8,0.088,0.0,0.199,Low,1633852800
2021-10-10,9,0.063,0.0,0.315,High,1633856400
2021-10-10,10,0.027,0.0,0.321,High,1633860000
2021-10-10,11,0.153,0.0,0.457,High,1633863600
2021-10-10,12,0.958,0.0,1.016,Medium,1633867200
2021-10-10,13,0.007,0.0,0.509,High,1633870800
2021-10-10,14,0.014,0.0,0.388,Very High,1633874400
2021-10-10,15,0.01,0.0,0.447,High,1633878000
2021-10-10,16,0.016,0.0,0.346,High,1633881600
2021-10-10,17,0.139,0.0,0.175,Low,1633885200
2021-10-10,18,0.326,0.0,0.02,,1633888800
2021-10-10,19,0.489,0.0,0.0,,1633892400
2021-10-10,20,0.451,0.0,0.0,,1633896000
2021-10-10,21,0.635,0.0,0.0,,1633899600
2021-10-10,22,0.567,0.0,0.0,,1633903200
2021-10-10,23,0.556,0.0,0.0,,1633906800
2021-10-11,0,0.547,0.0,0.0,,1633910400
2021-10-11,1,0.627,0.0,0.0,,1633914000
2021-10-11,2,0.425,0.0,0.0,,1633917600
2021-10-11,3,0.36,0.0,0.0,,1633921200
2021-10-11,4,0.366,0.0,0.0,,1633924800
2021-10-11,5,0.37,0.0,0.0,,1633928400
2021-10-11,6,0.361,0.0,0.0,,1633932000
2021-10-11,7,0.382,0.0,0.002,,1633935600
2021-10-11,8,0.279,0.0,0.209,Medium,1633939200
2021-10-11,9,0.001,0.0,0.255,Medium,1633942800
2021-10-11,10,0.0,0.0,0.263,High,1633946400
2021-10-11,11,0.0,0.0,0.264,Very High,1633950000
2021-10-11,12,0.0,0.0,0.265,Very High,1633953600
2021-10-11,13,0.0,0.0,0.267,Very High,1633957200
2021-10-11,14,0.006,0.0,0.287,Very High,1633960800
2021-10-11,15,0.001,0.0,0.318,High,1633964400
2021-10-11,16,0.037,0.0,0.337,Medium,1633968000
2021-10-11,17,0.262,0.0,0.119,Low,1633971600
2021-10-11,18,0.295,0.0,0.015,,1633975200
2021-10-11,19,1.151,0.0,0.0,,1633978800
2021-10-11,20,0.566,0.0,0.0,,1633982400
2021-10-11,21,0.577,0.0,0.0,,1633986000
2021-10-11,22,0.444,0.0,0.0,,1633989600
2021-10-11,23,0.417,0.0,0.0,,1633993200
2021-10-12,0,0.445,0.0,0.0,,1633996800
2021-10-12,1,0.415,0.0,0.0,,1634000400
2021-10-12,2,0.432,0.0,0.0,,1634004000
2021-10-12,3,0.298,0.0,0.0,,1634007600
2021-10-12,4,0.261,0.0,0.0,,1634011200
2021-10-12,5,0.253,0.0,0.0,,1634014800
2021-10-12,6,0.29,0.0,0.0,,1634018400
2021-10-12,7,0.263,0.0,0.0,,1634022000
2021-10-12,8,0.307,0.0,0.16,Low,1634025600
2021-10-12,9,0.0,0.0,0.261,High,1634029200
2021-10-12,10,0.0,0.0,0.266,High,1634032800
2021-10-12,11,0.0,0.0,0.273,Very High,1634036400
2021-10-12,12,0.0,0.0,0.267,Very High,1634040000
2021-10-12,13,0.009,0.0,0.425,Very High,1634043600
2021-10-12,14,0.405,0.0,0.63,High,1634047200
2021-10-12,15,0.417,0.0,0.538,High,1634050800
2021-10-12,16,0.006,0.0,0.391,Medium,1634054400
2021-10-12,17,0.241,0.0,0.208,Low,1634058000
2021-10-12,18,0.454,0.0,0.012,,1634061600
2021-10-12,19,1.244,0.0,0.0,,1634065200
2021-10-12,20,0.78,0.0,0.0,,1634068800
2021-10-12,21,0.472,0.0,0.0,,1634072400
2021-10-12,22,0.511,0.0,0.0,,1634076000
2021-10-12,23,0.451,0.0,0.0,,1634079600
2021-10-13,0,0.435,0.0,0.0,,1634083200
2021-10-13,1,0.508,0.0,0.0,,1634086800
2021-10-13,2,0.375,0.0,0.0,,1634090400
2021-10-13,3,0.377,0.0,0.0,,1634094000
2021-10-13,4,0.463,0.0,0.0,,1634097600
2021-10-13,5,0.359,0.0,0.0,,1634101200
2021-10-13,6,0.352,0.0,0.0,,1634104800
2021-10-13,7,0.397,0.0,0.0,,1634108400
2021-10-13,8,0.405,0.0,0.188,Low,1634112000
2021-10-13,9,0.024,0.0,0.266,High,1634115600
2021-10-13,10,0.0,0.0,0.303,High,1634119200
2021-10-13,11,0.0,0.0,0.303,Very High,1634122800
2021-10-13,12,0.16,0.0,0.51,High,1634126400
2021-10-13,13,0.028,0.0,0.422,Very High,1634130000
2021-10-13,14,0.0,0.0,0.266,Very High,1634133600
2021-10-13,15,0.0,0.0,0.26,High,1634137200
2021-10-13,16,0.0,0.0,0.254,High,1634140800
2021-10-13,17,0.112,0.0,0.187,Low,1634144400
2021-10-13,18,0.333,0.0,0.011,,1634148000
2021-10-13,19,0.576,0.0,0.0,,1634151600
2021-10-13,20,0.595,0.0,0.0,,1634155200
2021-10-13,21,0.726,0.0,0.0,,1634158800
2021-10-13,22,0.395,0.0,0.0,,1634162400
2021-10-13,23,0.516,0.0,0.0,,1634166000
2021-10-14,0,0.396,0.0,0.0,,1634169600
2021-10-14,1,0.394,0.0,0.0,,1634173200
2021-10-14,2,0.398,0.0,0.0,,1634176800
2021-10-14,3,0.328,0.0,0.0,,1634180400
2021-10-14,4,0.318,0.0,0.0,,1634184000
2021-10-14,5,0.306,0.0,0.0,,1634187600
2021-10-14,6,0.301,0.0,0.0,,1634191200
2021-10-14,7,0.317,0.0,0.0,,1634194800
2021-10-14,8,0.186,0.0,0.194,Low,1634198400
2021-10-14,9,0.003,0.0,0.343,Medium,1634202000
2021-10-14,10,0.0,0.0,0.351,High,1634205600
2021-10-14,11,0.001,0.0,0.294,High,1634209200
2021-10-14,12,0.63,0.0,0.578,Medium,1634212800
2021-10-14,13,0.461,0.0,0.51,Medium,1634216400
2021-10-14,14,0.079,0.0,0.377,High,1634220000
2021-10-14,15,0.0,0.0,0.345,High,1634223600
2021-10-14,16,0.017,0.0,0.253,Medium,1634227200
2021-10-14,17,0.113,0.0,0.17,Low,1634230800
2021-10-14,18,0.618,0.0,0.014,,1634234400
2021-10-14,19,0.96,0.0,0.0,,1634238000
2021-10-14,20,0.94,0.0,0.0,,1634241600
2021-10-14,21,0.61,0.0,0.0,,1634245200
2021-10-14,22,0.842,0.0,0.0,,1634248800
2021-10-14,23,0.496,0.0,0.0,,1634252400
2021-10-15,0,0.438,0.0,0.0,,1634256000
2021-10-15,1,0.323,0.0,0.0,,1634259600
2021-10-15,2,0.268,0.0,0.0,,1634263200
2021-10-15,3,0.268,0.0,0.0,,1634266800
2021-10-15,4,0.252,0.0,0.0,,1634270400
2021-10-15,5,0.252,0.0,0.0,,1634274000
2021-10-15,6,0.251,0.0,0.0,,1634277600
2021-10-15,7,0.272,0.0,0.001,,1634281200
2021-10-15,8,0.752,0.0,0.124,Low,1634284800
2021-10-15,9,0.007,0.0,0.266,Medium,1634288400
2021-10-15,10,0.0,0.0,0.258,High,1634292000
2021-10-15,11,0.02,0.0,0.279,Very High,1634295600
2021-10-15,12,0.022,0.0,0.351,Very High,1634299200
2021-10-15,13,0.0,0.0,0.263,Very High,1634302800
2021-10-15,14,0.014,0.0,0.362,High,1634306400
2021-10-15,15,0.0,0.0,0.265,High,1634310000
2021-10-15,16,0.002,0.0,0.259,High,1634313600
2021-10-15,17,0.936,0.0,0.184,Low,1634317200
2021-10-15,18,0.825,0.0,0.006,,1634320800
2021-10-15,19,0.413,0.0,0.0,,1634324400
2021-10-15,20,0.41,0.0,0.0,,1634328000
2021-10-15,21,0.41,0.0,0.0,,1634331600
2021-10-15,22,0.474,0.0,0.0,,1634335200
2021-10-15,23,0.444,0.0,0.0,,1634338800
2021-10-16,0,0.438,0.0,0.0,,1634342400
2021-10-16,1,0.334,0.0,0.0,,1634346000
2021-10-16,2,0.315,0.0,0.0,,1634349600
2021-10-16,3,0.253,0.0,0.0,,1634353200
2021-10-16,4,0.252,0.0,0.0,,1634356800
2021-10-16,5,0.251,0.0,0.0,,1634360400
2021-10-16,6,0.249,0.0,0.0,,1634364000
2021-10-16,7,0.258,0.0,0.0,,1634367600
2021-10-16,8,0.396,0.0,0.04,,1634371200
2021-10-16,9,0.125,0.0,0.174,,1634374800
2021-10-16,10,0.035,0.0,0.227,Low,1634378400
2021-10-16,11,0.102,0.0,0.278,Low,1634382000
2021-10-16,12,0.57,0.0,0.267,,1634385600
2021-10-16,13,0.564,0.0,0.319,Low,1634389200
2021-10-16,14,0.074,0.0,0.332,Low,1634392800
2021-10-16,15,0.163,0.0,0.236,,1634396400
2021-10-16,16,0.152,0.0,0.116,,1634400000
2021-10-16,17,0.222,0.0,0.027,,1634403600
2021-10-16,18,0.322,0.0,0.0,,1634407200
2021-10-16,19,0.432,0.0,0.0,,1634410800
2021-10-16,20,0.436,0.0,0.0,,1634414400
2021-10-16,21,0.254,0.0,0.0,,1634418000
2021-10-16,22,0.253,0.0,0.0,,1634421600
2021-10-16,23,0.253,0.0,0.0,,1634425200
2021-10-17,0,1.038,0.0,0.0,,1634428800
2021-10-17,1,0.48,0.0,0.0,,1634432400
2021-10-17,2,0.334,0.0,0.0,,1634436000
2021-10-17,3,0.335,0.0,0.0,,1634439600
2021-10-17,4,0.254,0.0,0.0,,1634443200
2021-10-17,5,0.268,0.0,0.0,,1634446800
2021-10-17,6,0.322,0.0,0.0,,1634450400
2021-10-17,7,0.299,0.0,0.0,,1634454000
2021-10-17,8,0.244,0.0,0.011,,1634457600
2021-10-17,9,0.201,0.0,0.075,,1634461200
2021-10-17,10,0.249,0.0,0.137,,1634464800
2021-10-17,11,0.155,0.0,0.225,Medium,1634468400
2021-10-17,12,0.507,0.0,0.32,Low,1634472000
2021-10-17,13,1.004,0.0,0.273,,1634475600
2021-10-17,14,0.115,0.0,0.178,,1634479200
2021-10-17,15,0.165,0.0,0.146,,1634482800
2021-10-17,16,0.433,0.0,0.094,,1634486400
2021-10-17,17,0.619,0.0,0.02,,1634490000
2021-10-17,18,0.666,0.0,0.0,,1634493600
2021-10-17,19,2.077,0.0,0.0,,1634497200
2021-10-17,20,0.904,0.0,0.0,,1634500800
2021-10-17,21,0.688,0.0,0.0,,1634504400
2021-10-17,22,0.543,0.0,0.0,,1634508000
2021-10-17,23,0.418,0.0,0.0,,1634511600
2021-10-18,0,0.53,0.0,0.0,,1634515200
2021-10-18,1,0.427,0.0,0.0,,1634518800
2021-10-18,2,0.323,0.0,0.0,,1634522400
2021-10-18,3,0.326,0.0,0.0,,1634526000
2021-10-18,4,0.274,0.0,0.0,,1634529600
2021-10-18,5,0.269,0.0,0.0,,1634533200
2021-10-18,6,0.267,0.0,0.0,,1634536800
2021-10-18,7,0.288,0.0,0.0,,1634540400
2021-10-18,8,0.421,0.0,0.076,,1634544000
2021-10-18,9,0.026,0.0,0.226,Low,1634547600
2021-10-18,10,0.0,0.0,0.253,Medium,1634551200
2021-10-18,11,0.0,0.0,0.254,High,1634554800
2021-10-18,12,0.0,0.0,0.268,High,1634558400
2021-10-18,13,0.0,0.0,0.278,High,1634562000
2021-10-18,14,0.018,0.0,0.326,High,1634565600
2021-10-18,15,0.027,0.0,0.371,Medium,1634569200
2021-10-18,16,0.025,0.0,0.37,Medium,1634572800
2021-10-18,17,0.149,0.0,0.191,,1634576400
2021-10-18,18,0.31,0.0,0.024,,1634580000
2021-10-18,19,1.087,0.0,0.0,,1634583600
2021-10-18,20,0.727,0.0,0.0,,1634587200
2021-10-18,21,0.6,0.0,0.0,,1634590800
2021-10-18,22,0.534,0.0,0.0,,1634594400
2021-10-18,23,0.637,0.0,0.0,,1634598000
2021-10-19,0,0.342,0.0,0.0,,1634601600
2021-10-19,1,0.317,0.0,0.0,,1634605200
2021-10-19,2,0.315,0.0,0.0,,1634608800
2021-10-19,3,0.263,0.0,0.0,,1634612400
2021-10-19,4,0.283,0.0,0.0,,1634616000
2021-10-19,5,0.275,0.0,0.0,,1634619600
2021-10-19,6,0.256,0.0,0.0,,1634623200
2021-10-19,7,0.273,0.0,0.0,,1634626800
2021-10-19,8,0.429,0.0,0.125,Low,1634630400
2021-10-19,9,0.0,0.0,0.339,Medium,1634634000
2021-10-19,10,0.0,0.0,0.341,High,1634637600
2021-10-19,11,0.0,0.0,0.344,High,1634641200
2021-10-19,12,0.0,0.0,0.351,Very High,1634644800
2021-10-19,13,0.3,0.0,0.569,High,1634648400
2021-10-19,14,0.012,0.0,0.433,High,1634652000
2021-10-19,15,0.0,0.0,0.341,High,1634655600
2021-10-19,16,0.026,0.0,0.342,Medium,1634659200
2021-10-19,17,0.254,0.0,0.173,Low,1634662800
2021-10-19,18,0.331,0.0,0.006,,1634666400
2021-10-19,19,0.439,0.0,0.0,,1634670000
2021-10-19,20,0.418,0.0,0.0,,1634673600
