dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
1630591200,2021-09-02 14:00:00 +0000 UTC,local,23.17,23.34,21.68,27.01,1018,None,None,69,3.02,None,86,overcast clouds
1630594800,2021-09-02 15:00:00 +0000 UTC,local,23.49,23.83,22.23,27.57,1017,None,None,74,3.03,None,80,broken clouds
1630598400,2021-09-02 16:00:00 +0000 UTC,local,23.89,24.21,21.72,26.45,1017,None,None,72,2.62,0.11,5,light rain
1630602000,2021-09-02 17:00:00 +0000 UTC,local,23.8,24.09,21.72,24.79,1017,None,None,71,2.68,None,8,sky is clear
1630605600,2021-09-02 18:00:00 +0000 UTC,local,22.74,23.08,20.72,24.23,1017,None,None,77,2.8,None,30,scattered clouds
1630609200,2021-09-02 19:00:00 +0000 UTC,local,21.61,21.94,19.72,22.57,1018,None,None,81,2.0,None,51,broken clouds
1630612800,2021-09-02 20:00:00 +0000 UTC,local,20.04,20.32,18.72,20.9,1018,None,None,85,1.62,None,60,broken clouds
1630616400,2021-09-02 21:00:00 +0000 UTC,local,19.45,19.75,17.72,20.1,1019,None,None,88,0.71,None,78,broken clouds
1630620000,2021-09-02 22:00:00 +0000 UTC,local,18.86,19.13,16.72,19.54,1019,None,None,89,0.63,None,4,sky is clear
1630623600,2021-09-02 23:00:00 +0000 UTC,local,18.82,19.08,16.72,19.04,1019,None,None,89,0.82,None,5,sky is clear
1630627200,2021-09-03 00:00:00 +0000 UTC,local,18.98,19.28,17.79,19.04,1019,None,None,90,0.88,None,4,sky is clear
1630630800,2021-09-03 01:00:00 +0000 UTC,local,18.66,18.93,15.72,19.04,1019,None,None,90,0.74,None,41,scattered clouds
1630634400,2021-09-03 02:00:00 +0000 UTC,local,18.43,18.7,17.23,18.48,1018,None,None,91,0.86,None,92,overcast clouds
1630638000,2021-09-03 03:00:00 +0000 UTC,local,16.75,17.01,15.72,18.12,1018,None,None,97,0.94,None,100,overcast clouds
1630641600,2021-09-03 04:00:00 +0000 UTC,local,18.39,18.66,17.23,18.48,1018,None,None,91,1.14,None,100,overcast clouds
1630645200,2021-09-03 05:00:00 +0000 UTC,local,17.67,17.89,15.72,18.12,1018,None,None,92,1.4,None,100,overcast clouds
1630648800,2021-09-03 06:00:00 +0000 UTC,local,17.74,17.97,16.68,18.12,1018,None,None,92,1.56,None,100,overcast clouds
1630652400,2021-09-03 07:00:00 +0000 UTC,local,17.78,18.04,16.72,18.12,1018,None,None,93,1.64,None,95,overcast clouds
1630656000,2021-09-03 08:00:00 +0000 UTC,local,18.93,19.28,17.88,19.04,1018,None,None,92,1.25,None,63,broken clouds
1630659600,2021-09-03 09:00:00 +0000 UTC,local,20.24,20.54,20.01,22.88,1018,None,None,85,0.65,None,46,scattered clouds
1630663200,2021-09-03 10:00:00 +0000 UTC,local,21.87,22.04,20.72,23.99,1018,None,None,74,1.62,None,65,broken clouds
1630666800,2021-09-03 11:00:00 +0000 UTC,local,23.39,23.56,21.72,23.48,1018,None,None,68,1.97,None,87,overcast clouds
1630670400,2021-09-03 12:00:00 +0000 UTC,local,24.42,24.51,22.72,25.34,1018,None,None,61,2.23,None,45,scattered clouds
1630674000,2021-09-03 13:00:00 +0000 UTC,local,25.4,25.56,22.72,26.45,1018,None,None,60,2.62,None,34,scattered clouds
1630677600,2021-09-03 14:00:00 +0000 UTC,local,26.08,26.08,22.72,26.26,1017,None,None,60,2.81,None,21,few clouds
1630681200,2021-09-03 15:00:00 +0000 UTC,local,25.82,26.1,22.23,27.57,1017,None,None,63,2.77,None,20,few clouds
1630684800,2021-09-03 16:00:00 +0000 UTC,local,24.89,25.16,22.23,26.45,1017,None,None,66,2.67,None,12,few clouds
1630688400,2021-09-03 17:00:00 +0000 UTC,local,23.83,24.02,21.68,25.34,1016,None,None,67,2.45,None,1,sky is clear
1630692000,2021-09-03 18:00:00 +0000 UTC,local,23.19,23.34,20.72,23.68,1016,None,None,68,2.34,None,0,sky is clear
1630695600,2021-09-03 19:00:00 +0000 UTC,local,21.63,21.78,19.72,22.32,1017,None,None,74,1.88,None,3,sky is clear
1630699200,2021-09-03 20:00:00 +0000 UTC,local,19.51,19.66,17.72,21.21,1017,None,None,82,1.34,None,4,sky is clear
1630702800,2021-09-03 21:00:00 +0000 UTC,local,18.9,19.07,16.72,20.1,1017,None,None,85,1.11,None,4,sky is clear
1630706400,2021-09-03 22:00:00 +0000 UTC,local,17.85,17.96,15.72,19.54,1017,None,None,87,0.64,None,8,sky is clear
1630710000,2021-09-03 23:00:00 +0000 UTC,local,17.77,17.93,15.72,18.44,1017,None,None,89,0.94,None,52,broken clouds
1630713600,2021-09-04 00:00:00 +0000 UTC,local,17.18,17.3,14.72,17.89,1017,None,None,90,1.18,None,66,broken clouds
1630717200,2021-09-04 01:00:00 +0000 UTC,local,16.76,16.87,15.72,17.33,1017,None,None,91,0.94,None,100,overcast clouds
1630720800,2021-09-04 02:00:00 +0000 UTC,local,16.82,16.96,15.57,17.32,1016,None,None,92,1.04,None,100,overcast clouds
1630724400,2021-09-04 03:00:00 +0000 UTC,local,16.32,16.41,15.9,16.77,1016,None,None,92,1.15,None,100,overcast clouds
1630728000,2021-09-04 04:00:00 +0000 UTC,local,16.28,16.37,15.01,16.72,1016,None,None,92,1.29,None,100,overcast clouds
1630731600,2021-09-04 05:00:00 +0000 UTC,local,16.24,16.32,14.45,16.72,1016,None,None,92,1.57,None,100,overcast clouds
1630735200,2021-09-04 06:00:00 +0000 UTC,local,15.67,15.72,13.9,15.72,1016,None,None,93,1.69,None,90,overcast clouds
1630738800,2021-09-04 07:00:00 +0000 UTC,local,15.69,15.74,14.45,15.72,1016,None,None,93,1.78,None,73,broken clouds
1630742400,2021-09-04 08:00:00 +0000 UTC,local,16.83,16.97,15.66,17.72,1016,None,None,92,1.16,None,67,broken clouds
1630746000,2021-09-04 09:00:00 +0000 UTC,local,20.36,20.54,17.33,20.93,1016,None,None,80,0.28,None,74,broken clouds
1630749600,2021-09-04 10:00:00 +0000 UTC,local,22.36,22.58,19.55,23.22,1016,None,None,74,1.03,None,85,overcast clouds
1630753200,2021-09-04 11:00:00 +0000 UTC,local,22.76,22.89,22.72,23.44,1016,None,None,69,1.52,None,85,overcast clouds
1630756800,2021-09-04 12:00:00 +0000 UTC,local,23.5,23.58,21.72,27.01,1015,None,None,64,1.72,None,80,broken clouds
1630760400,2021-09-04 13:00:00 +0000 UTC,local,24.23,24.3,21.72,29.23,1015,None,None,61,1.76,None,61,broken clouds
1630764000,2021-09-04 14:00:00 +0000 UTC,local,23.67,23.63,21.72,29.23,1014,None,None,59,1.78,None,29,scattered clouds
1630767600,2021-09-04 15:00:00 +0000 UTC,local,27.2,27.54,21.72,29.23,1014,None,None,49,2.1,None,0,sky is clear
1630771200,2021-09-04 16:00:00 +0000 UTC,local,27.63,27.82,21.72,29.23,1014,None,None,47,2.07,None,0,sky is clear
1630774800,2021-09-04 17:00:00 +0000 UTC,local,27.13,27.81,21.72,28.12,1013,None,None,54,1.81,None,0,sky is clear
1630778400,2021-09-04 18:00:00 +0000 UTC,local,25.58,25.73,20.72,26.45,1013,None,None,59,1.27,None,0,sky is clear
1630782000,2021-09-04 19:00:00 +0000 UTC,local,20.62,20.54,18.72,24.79,1014,None,None,69,1.12,None,0,sky is clear
1630785600,2021-09-04 20:00:00 +0000 UTC,local,21.41,21.51,17.72,22.57,1014,None,None,73,1.2,None,0,sky is clear
1630789200,2021-09-04 21:00:00 +0000 UTC,local,20.79,20.86,16.72,21.45,1014,None,None,74,1.41,None,0,sky is clear
1630792800,2021-09-04 22:00:00 +0000 UTC,local,20.2,20.29,15.72,20.7,1014,None,None,77,1.44,None,6,sky is clear
1630796400,2021-09-04 23:00:00 +0000 UTC,local,17.26,17.26,15.72,19.0,1014,None,None,85,1.68,None,24,few clouds
1630800000,2021-09-05 00:00:00 +0000 UTC,local,17.02,17.05,15.72,18.68,1013,None,None,87,1.62,None,34,scattered clouds
1630803600,2021-09-05 01:00:00 +0000 UTC,local,16.75,16.8,15.72,18.68,1013,None,None,89,1.62,None,16,few clouds
1630807200,2021-09-05 02:00:00 +0000 UTC,local,16.15,16.17,14.72,18.68,1013,None,None,90,1.66,None,8,sky is clear
1630810800,2021-09-05 03:00:00 +0000 UTC,local,15.43,15.4,13.72,18.68,1013,None,None,91,1.74,None,45,scattered clouds
1630814400,2021-09-05 04:00:00 +0000 UTC,local,19.44,19.29,14.72,20.15,1013,None,None,71,1.63,None,94,overcast clouds
1630818000,2021-09-05 05:00:00 +0000 UTC,local,19.51,19.4,15.72,20.15,1013,None,None,72,1.67,None,96,overcast clouds
1630821600,2021-09-05 06:00:00 +0000 UTC,local,16.5,16.66,16.21,18.68,1013,None,None,94,1.69,None,99,overcast clouds
1630825200,2021-09-05 07:00:00 +0000 UTC,local,15.86,15.88,15.28,17.72,1013,None,None,91,2.37,None,100,overcast clouds
1630828800,2021-09-05 08:00:00 +0000 UTC,local,24.3,24.14,18.44,24.59,1013,None,None,52,2.34,None,97,overcast clouds
1630832400,2021-09-05 09:00:00 +0000 UTC,local,26.62,26.62,21.78,26.82,1014,None,None,52,1.92,None,99,overcast clouds
1630836000,2021-09-05 10:00:00 +0000 UTC,local,28.89,29.07,25.11,29.04,1014,None,None,46,2.29,None,100,overcast clouds
1630839600,2021-09-05 11:00:00 +0000 UTC,local,30.11,29.94,25.72,32.57,1013,None,None,41,2.58,None,97,overcast clouds
1630843200,2021-09-05 12:00:00 +0000 UTC,local,31.34,30.92,26.72,32.57,1013,None,None,37,2.71,None,93,overcast clouds
1630846800,2021-09-05 13:00:00 +0000 UTC,local,31.93,32.01,27.72,33.68,1013,None,None,39,2.34,None,79,broken clouds
1630850400,2021-09-05 14:00:00 +0000 UTC,local,32.72,32.25,25.72,35.34,1012,None,None,34,2.26,None,46,scattered clouds
1630854000,2021-09-05 15:00:00 +0000 UTC,local,33.37,32.79,25.72,34.79,1013,None,None,32,3.49,None,4,sky is clear
1630857600,2021-09-05 16:00:00 +0000 UTC,local,29.12,29.46,25.72,32.57,1013,None,None,47,3.2,None,3,sky is clear
1630861200,2021-09-05 17:00:00 +0000 UTC,local,28.55,28.69,24.72,30.34,1013,None,None,46,2.25,None,7,sky is clear
1630864800,2021-09-05 18:00:00 +0000 UTC,local,27.08,27.43,24.45,28.68,1013,None,None,49,1.46,None,33,scattered clouds
1630868400,2021-09-05 19:00:00 +0000 UTC,local,25.48,25.49,23.34,25.9,1014,None,None,54,1.79,None,48,scattered clouds
1630872000,2021-09-05 20:00:00 +0000 UTC,local,24.32,24.24,21.72,24.59,1014,None,None,55,1.11,None,74,broken clouds
1630875600,2021-09-05 21:00:00 +0000 UTC,local,23.7,23.61,20.72,24.04,1014,None,None,57,2.25,None,83,broken clouds
1630879200,2021-09-05 22:00:00 +0000 UTC,local,23.75,23.67,21.72,24.04,1013,None,None,57,2.19,None,89,overcast clouds
1630882800,2021-09-05 23:00:00 +0000 UTC,local,20.76,20.59,19.72,22.88,1012,None,None,65,3.33,None,90,overcast clouds
1630886400,2021-09-06 00:00:00 +0000 UTC,local,21.27,21.07,20.72,22.33,1012,None,None,62,1.24,None,59,broken clouds
1630890000,2021-09-06 01:00:00 +0000 UTC,local,22.05,22.09,19.72,23.12,1012,None,None,68,0.44,None,62,broken clouds
1630893600,2021-09-06 02:00:00 +0000 UTC,local,21.74,21.75,20.57,21.82,1013,None,None,68,0.44,None,97,overcast clouds
1630897200,2021-09-06 03:00:00 +0000 UTC,local,22.08,22.04,19.45,23.12,1012,None,None,65,2.02,None,100,overcast clouds
1630900800,2021-09-06 04:00:00 +0000 UTC,local,22.45,22.34,19.72,22.93,1011,None,None,61,2.61,None,67,broken clouds
1630904400,2021-09-06 05:00:00 +0000 UTC,local,21.2,21.31,20.1,21.26,1011,None,None,74,2.95,None,67,broken clouds
1630908000,2021-09-06 06:00:00 +0000 UTC,local,21.03,21.04,19.45,22.57,1011,None,None,71,2.05,None,56,broken clouds
1630911600,2021-09-06 07:00:00 +0000 UTC,local,20.3,20.27,19.54,23.12,1012,None,None,72,0.84,None,67,broken clouds
1630915200,2021-09-06 08:00:00 +0000 UTC,local,26.46,26.46,21.72,27.37,1013,None,None,47,3.16,None,90,overcast clouds
1630918800,2021-09-06 09:00:00 +0000 UTC,local,25.47,25.51,22.79,29.23,1014,None,None,55,3.73,None,98,overcast clouds
1630922400,2021-09-06 10:00:00 +0000 UTC,local,27.42,28.05,23.72,32.01,1013,None,None,53,1.72,None,99,overcast clouds
1630926000,2021-09-06 11:00:00 +0000 UTC,local,27.31,28.01,21.72,34.23,1013,None,None,54,2.32,None,99,overcast clouds
1630929600,2021-09-06 12:00:00 +0000 UTC,local,24.69,24.78,22.72,33.68,1013,None,None,60,2.47,None,93,overcast clouds
1630933200,2021-09-06 13:00:00 +0000 UTC,local,25.52,25.64,23.72,32.01,1014,None,None,58,2.44,None,84,broken clouds
1630936800,2021-09-06 14:00:00 +0000 UTC,local,29.07,30.27,24.72,33.12,1013,None,None,54,1.65,None,94,overcast clouds
1630940400,2021-09-06 15:00:00 +0000 UTC,local,27.48,28.8,23.34,30.34,1013,None,None,61,2.78,None,98,overcast clouds
1630944000,2021-09-06 16:00:00 +0000 UTC,local,26.63,26.63,24.45,28.68,1012,None,None,64,2.41,None,73,broken clouds
1630947600,2021-09-06 17:00:00 +0000 UTC,local,26.51,26.51,23.72,27.57,1012,None,None,63,1.44,None,58,broken clouds
1630951200,2021-09-06 18:00:00 +0000 UTC,local,25.41,25.73,22.72,26.45,1012,None,None,66,1.28,None,58,broken clouds
1630954800,2021-09-06 19:00:00 +0000 UTC,local,23.83,24.1,21.72,25.34,1012,None,None,70,1.95,0.1,48,light rain
1630958400,2021-09-06 20:00:00 +0000 UTC,local,21.9,22.16,21.72,24.23,1013,None,None,77,2.12,None,74,broken clouds
1630962000,2021-09-06 21:00:00 +0000 UTC,local,22.3,22.65,21.12,23.43,1014,None,None,79,1.3,None,52,broken clouds
1630965600,2021-09-06 22:00:00 +0000 UTC,local,21.52,21.89,20.57,22.88,1013,None,None,83,1.68,0.36,95,light rain
1630969200,2021-09-06 23:00:00 +0000 UTC,local,21.1,21.41,19.45,21.45,1014,None,None,82,0.28,0.16,97,light rain
1630972800,2021-09-07 00:00:00 +0000 UTC,local,20.13,20.5,19.45,20.66,1013,None,None,88,1.79,None,52,broken clouds
1630976400,2021-09-07 01:00:00 +0000 UTC,local,20.18,20.5,19.45,20.72,1013,None,None,86,2.04,None,40,scattered clouds
1630980000,2021-09-07 02:00:00 +0000 UTC,local,20.18,20.5,19.23,20.72,1012,None,None,86,1.99,None,42,scattered clouds
1630983600,2021-09-07 03:00:00 +0000 UTC,local,20.56,20.84,19.23,20.7,1012,None,None,83,1.93,0.28,68,light rain
1630987200,2021-09-07 04:00:00 +0000 UTC,local,19.63,19.95,19.23,19.72,1012,None,None,88,2.94,0.27,100,light rain
1630990800,2021-09-07 05:00:00 +0000 UTC,local,20.52,20.9,18.9,20.7,1012,None,None,87,3.17,0.47,100,light rain
1630994400,2021-09-07 06:00:00 +0000 UTC,local,20.49,20.87,18.9,20.7,1012,None,None,87,3.41,0.27,99,light rain
1630998000,2021-09-07 07:00:00 +0000 UTC,local,19.63,19.92,19.45,19.79,1013,None,None,87,3.99,0.5,100,light rain
1631001600,2021-09-07 08:00:00 +0000 UTC,local,20.71,21.21,20.01,21.21,1013,None,None,91,4.05,0.31,93,light rain
1631005200,2021-09-07 09:00:00 +0000 UTC,local,21.69,22.13,20.57,22.01,1014,None,None,85,3.87,0.54,82,light rain
1631008800,2021-09-07 10:00:00 +0000 UTC,local,22.76,23.21,21.12,23.68,1014,None,None,81,4.54,0.93,67,light rain
1631012400,2021-09-07 11:00:00 +0000 UTC,local,21.82,22.38,21.68,22.33,1014,None,None,89,4.56,1.32,41,moderate rain
1631016000,2021-09-07 12:00:00 +0000 UTC,local,22.82,23.38,21.45,22.93,1014,None,None,85,5.38,0.53,36,light rain
1631019600,2021-09-07 13:00:00 +0000 UTC,local,24.38,24.78,22.72,24.59,1014,None,None,73,5.4,0.21,35,light rain
1631023200,2021-09-07 14:00:00 +0000 UTC,local,24.47,24.8,22.72,25.66,1014,None,None,70,4.88,0.64,41,light rain
1631026800,2021-09-07 15:00:00 +0000 UTC,local,24.97,25.35,22.57,25.15,1014,None,None,70,4.64,0.11,49,light rain
1631030400,2021-09-07 16:00:00 +0000 UTC,local,23.96,24.29,22.72,25.1,1014,None,None,72,4.72,0.2,33,light rain
1631034000,2021-09-07 17:00:00 +0000 UTC,local,23.44,23.75,22.23,24.54,1014,None,None,73,4.24,0.24,32,light rain
1631037600,2021-09-07 18:00:00 +0000 UTC,local,22.35,22.65,20.9,23.43,1014,None,None,77,3.48,0.12,37,light rain
1631041200,2021-09-07 19:00:00 +0000 UTC,local,21.73,22.07,20.34,22.32,1014,None,None,81,2.47,None,42,scattered clouds
1631044800,2021-09-07 20:00:00 +0000 UTC,local,20.72,21.01,19.79,21.21,1015,None,None,83,2.25,None,54,broken clouds
1631048400,2021-09-07 21:00:00 +0000 UTC,local,20.68,21.02,18.68,20.72,1015,None,None,85,1.97,0.23,55,light rain
1631052000,2021-09-07 22:00:00 +0000 UTC,local,20.69,21.06,20.01,20.72,1015,None,None,86,2.22,0.24,28,light rain
1631055600,2021-09-07 23:00:00 +0000 UTC,local,20.19,20.59,18.68,20.72,1015,None,None,89,2.56,0.28,52,light rain
1631059200,2021-09-08 00:00:00 +0000 UTC,local,19.71,20.09,18.68,20.72,1015,None,None,90,2.66,0.13,77,light rain
1631062800,2021-09-08 01:00:00 +0000 UTC,local,19.71,20.11,18.68,20.72,1015,None,None,91,2.62,None,71,broken clouds
1631066400,2021-09-08 02:00:00 +0000 UTC,local,19.6,19.99,18.68,19.72,1014,None,None,91,2.78,0.17,100,light rain
1631070000,2021-09-08 03:00:00 +0000 UTC,local,19.6,19.97,19.23,19.72,1014,None,None,90,2.7,0.35,100,light rain
1631073600,2021-09-08 04:00:00 +0000 UTC,local,19.59,19.95,18.9,19.72,1014,None,None,90,2.67,0.31,100,light rain
1631077200,2021-09-08 05:00:00 +0000 UTC,local,19.59,19.98,18.68,19.72,1014,None,None,91,2.3,0.31,100,light rain
1631080800,2021-09-08 06:00:00 +0000 UTC,local,19.09,19.43,18.34,19.72,1014,None,None,91,2.33,0.17,100,light rain
1631084400,2021-09-08 07:00:00 +0000 UTC,local,19.56,19.97,18.9,19.72,1015,None,None,92,2.45,0.4,100,light rain
1631088000,2021-09-08 08:00:00 +0000 UTC,local,20.16,20.58,19.45,20.72,1015,None,None,90,2.89,0.52,100,light rain
1631091600,2021-09-08 09:00:00 +0000 UTC,local,20.57,20.93,19.45,20.7,1015,None,None,86,3.83,1.19,71,moderate rain
1631095200,2021-09-08 10:00:00 +0000 UTC,local,20.56,21.0,19.55,20.7,1015,None,None,89,4.32,1.89,100,moderate rain
1631098800,2021-09-08 11:00:00 +0000 UTC,local,20.18,20.63,19.55,20.72,1016,None,None,91,3.98,0.97,99,light rain
1631102400,2021-09-08 12:00:00 +0000 UTC,local,20.81,21.3,20.57,21.72,1016,None,None,90,3.4,1.41,98,moderate rain
1631106000,2021-09-08 13:00:00 +0000 UTC,local,21.7,22.12,20.72,21.82,1016,None,None,84,3.58,1.34,92,moderate rain
1631109600,2021-09-08 14:00:00 +0000 UTC,local,21.51,21.99,20.34,23.43,1015,None,None,87,3.51,0.43,84,light rain
1631113200,2021-09-08 15:00:00 +0000 UTC,local,22.39,22.85,21.12,23.99,1015,None,None,83,3.75,0.16,61,light rain
1631116800,2021-09-08 16:00:00 +0000 UTC,local,21.41,21.85,20.57,23.43,1015,None,None,86,3.57,0.78,49,light rain
1631120400,2021-09-08 17:00:00 +0000 UTC,local,21.49,21.91,20.72,22.88,1015,None,None,85,3.43,0.48,35,light rain
1631124000,2021-09-08 18:00:00 +0000 UTC,local,19.87,20.31,19.59,22.32,1015,None,None,92,2.56,0.29,31,light rain
1631127600,2021-09-08 19:00:00 +0000 UTC,local,19.82,20.26,19.59,21.77,1016,None,None,92,1.54,0.15,33,light rain
1631131200,2021-09-08 20:00:00 +0000 UTC,local,19.78,20.24,19.23,21.21,1016,None,None,93,1.37,0.22,47,light rain
1631134800,2021-09-08 21:00:00 +0000 UTC,local,19.68,20.13,18.68,20.67,1017,None,None,93,1.17,None,92,overcast clouds
1631138400,2021-09-08 22:00:00 +0000 UTC,local,19.66,20.11,18.68,20.66,1017,None,None,93,1.4,0.11,98,light rain
1631142000,2021-09-08 23:00:00 +0000 UTC,local,19.63,20.08,19.23,20.1,1017,None,None,93,1.26,None,95,overcast clouds
1631145600,2021-09-09 00:00:00 +0000 UTC,local,19.63,20.08,19.23,20.1,1016,None,None,93,1.08,None,93,overcast clouds
1631149200,2021-09-09 01:00:00 +0000 UTC,local,19.51,19.94,18.68,19.59,1017,None,None,93,1.08,None,96,overcast clouds
1631152800,2021-09-09 02:00:00 +0000 UTC,local,19.51,19.94,18.68,19.59,1016,None,None,93,1.3,None,88,overcast clouds
1631156400,2021-09-09 03:00:00 +0000 UTC,local,19.03,19.42,18.34,19.54,1016,None,None,93,1.15,None,95,overcast clouds
1631160000,2021-09-09 04:00:00 +0000 UTC,local,19.0,19.38,18.34,19.04,1016,None,None,93,1.24,0.21,79,light rain
1631163600,2021-09-09 05:00:00 +0000 UTC,local,18.5,18.83,18.34,18.72,1016,None,None,93,0.62,None,65,broken clouds
1631167200,2021-09-09 06:00:00 +0000 UTC,local,18.41,18.73,17.72,18.68,1016,None,None,93,1.06,None,60,broken clouds
1631170800,2021-09-09 07:00:00 +0000 UTC,local,18.51,18.84,18.12,19.0,1017,None,None,93,1.37,None,65,broken clouds
1631174400,2021-09-09 08:00:00 +0000 UTC,local,19.03,19.42,18.34,19.54,1017,None,None,93,1.69,None,67,broken clouds
1631178000,2021-09-09 09:00:00 +0000 UTC,local,19.69,20.14,19.45,21.21,1017,None,None,93,1.93,0.11,82,light rain
1631181600,2021-09-09 10:00:00 +0000 UTC,local,20.46,20.94,20.15,22.88,1018,None,None,91,2.72,0.17,99,light rain
1631185200,2021-09-09 11:00:00 +0000 UTC,local,21.54,21.94,20.9,23.99,1018,None,None,84,3.56,0.45,99,light rain
1631188800,2021-09-09 12:00:00 +0000 UTC,local,22.03,22.35,21.45,25.1,1017,None,None,79,4.48,0.38,100,light rain
